公司代號,公司簡稱,財務結構-負債佔資產比率(%),財務結構-長期資金佔不動產、廠房及設備比率(%),償債能力-流動比率(%),償債能力-速動比率(%),償債能力-利息保障倍數(%),經營能力-應收款項週轉率(次),經營能力-平均收現日數,經營能力-存貨週轉率(次),經營能力-平均售貨日數,經營能力-不動產、廠房及設備週轉率(次),經營能力-總資產週轉率(次),獲利能力-資產報酬率(%),獲利能力-權益報酬率(%),獲利能力-稅前純益佔實收資本比率(%),獲利能力-純益率(%),獲利能力-每股盈餘(元),現金流量-現金流量比率(%),現金流量-現金流量允當比率(%),現金流量-現金再投資比率(%)
1582,信錦,43.64,747.77,215.58,193.42,7206.43,2.38,153.36,11.46,31.84,12.61,1.02,9.59,16.32,83.01,8.51,5.71,20.43,68.08,4.44
1583,程泰,58.32,127.66,130.69,70.97,23.53,3.64,100.27,1.72,212.2,2.55,0.72,8.25,26.68,109.75,10.89,6.88,15.63,54.45,9.92
1587,吉茂,48.11,179.58,176.79,96.27,8.09,4.69,77.82,1.66,219.87,1.58,0.6,3.6,5.92,16.82,5.19,1.28,10.2,59.8,0.51
1589,永冠-KY,31,220.19,325.35,250.55,25.08,3.58,101.95,3.82,95.54,1.73,0.68,9.92,14.07,25.93,13.9,9.78,72.32,163.71,9.69
1590,亞德客-KY,46.89,114.65,111.92,83.71,35.48,3.36,108.63,2.23,163.67,0.9,0.5,10.99,18.7,140.09,21.32,10.39,23.07,44.41,3.16
1592,英瑞-KY,48.6,172.39,142.98,74.29,3.92,6.31,57.84,2.4,152.08,2.66,0.86,4.36,6.1,25.07,3.5,1.83,19.27,18.5,5.48
1598,岱宇,70.69,141.64,104.85,70.76,13.88,4.96,73.58,5.36,68.09,3.97,1.24,7.67,26.63,50.9,5.74,4.02,27.09,94.9,33.8
1603,華電,34.91,174.01,144.32,80.07,17.68,2.28,160.08,2.45,148.97,0.83,0.31,3.12,4.72,8.52,9.54,0.88,11.25,178.69,4.11
1604,聲寶,34.43,196.78,188.6,103.6,49.84,7.42,49.19,5.11,71.42,2.38,0.85,5.38,8.23,12.75,6.23,1.25,45.09,55.6,4.08
1605,華新,39.85,481.5,261.06,136.12,581,9.74,37.47,7.06,51.69,8.13,1.46,2.75,3.97,10.23,1.55,0.64,2.84,55.76,0.59
1608,華榮,34.11,320.92,175.1,74.99,444.01,13.36,27.32,3.31,110.27,2.98,0.74,0.77,0.86,1.53,0.8,-0.02,0,81.54,0
1609,大亞,57.34,339.5,184.08,132.78,147.82,5.09,71.7,5.76,63.36,4.25,0.87,0.75,0.29,1.16,0.13,0.04,5.16,8.15,24.72
1612,宏泰,10.84,425.12,1056.99,675.58,211.67,5.55,65.76,4.07,89.68,3.2,0.67,4.62,5.29,8.46,6.85,0.77,49.12,72.93,-1.64
1614,三洋電,25.2,143.16,240.71,146.97,73.36,15.59,23.41,4.54,80.39,1.87,0.79,3.39,4.4,10.24,4.25,0.87,85.47,86.14,7.24
1615,大山,35.1,193.65,155.6,98.13,13.51,6.26,58.3,9.13,39.97,3.12,1.2,3.91,5.72,8.12,3.05,0.74,-8.14,50.65,-2.46
1616,億泰,59.32,200.25,130.1,65.24,-4.32,4.28,85.28,3.2,114.06,4.19,1,-4.16,-11.44,-11.75,-4.94,-1,0,25.16,0
1617,榮星,48.97,247.37,181.27,158.91,4,4.6,79.34,11.25,32.44,4.97,1.11,2,2.81,5.01,1.27,0.33,24.71,208.29,11.4
1618,合機,4.98,242.28,969.53,602.73,-261.68,8.8,41.47,2.6,140.38,1.46,0.4,-0.3,-0.33,-1.18,-0.75,-0.06,-111.47,76.15,-4.88
1626,艾美特-KY,68.59,148.63,122.09,62,-3.62,5.36,68.09,3.59,101.67,4.14,1.28,-3.12,-10.51,-26.72,-2.74,-2.71,-3.15,31.02,-6.27
1701,中化,46.81,178.02,165.3,107.12,10.66,3.12,116.98,2.4,152.08,1.23,0.51,3.63,6.63,14.52,6.62,1.18,12.42,42.03,1.8
1702,南僑,69,138,138,104,14,8.65,42.19,5.43,67.21,2.09,0.98,7,20,54,7,3.82,28,78,6
1707,葡萄王,30.77,188.88,134.36,114.91,19605.01,65.81,5.54,2.38,153.36,3.23,1.26,27.74,39.97,129.71,22.07,7.24,116.29,104.85,15.28
1708,東鹼,45.12,135.39,143.48,107.5,18.78,6.43,56.76,5.64,64.71,0.81,0.48,8.51,14.75,47.97,15.6,3.73,64.99,57.02,10.89
1709,和益,35.86,271.87,239.38,92.16,7.83,10.8,33.79,2.64,138.25,3.81,1.1,2.32,3.11,5.92,1.83,0.43,20.41,46.63,2.15
1710,東聯,44.36,184.49,118.89,78.59,150.26,15.46,23.6,13.93,26.2,1.25,0.48,0.41,0.34,0.49,0.45,0.13,-7.05,46.62,-3.94
1711,永光,39.19,165.93,143.91,61.75,11.74,5.29,68.99,2.47,147.77,1.99,0.78,5.19,7.81,15.06,5.94,1.16,11.43,82.83,1.5
1712,興農,66.61,120.37,140.8,64.72,705.58,9.03,40.42,3.6,101.38,2.34,1.07,3.94,9.93,19.56,2.96,1.51,11.39,28.59,3.24
1713,國化,7.42,537.74,2572.04,2173.38,0,5.11,71.42,4.03,90.57,1.75,0.31,3.8,4.1,7.03,12.29,0.61,-8.82,16.66,-2.86
1714,和桐,67.77,134.58,104.3,71.26,-0.49,9.38,38.91,8.95,40.78,3.53,1.28,-1.34,-7.34,-10.62,-2.05,-0.42,1.22,4.86,1.02
1717,長興,53.46,261.06,268.83,198.46,10.3,3.15,115.87,4.72,77.33,2.96,0.88,5.64,10.97,29.42,5.73,2.25,26.39,67.39,2.85
1718,中纖,91.54,NA,NA,NA,NA,NA,NA,NA,NA,5.55,0.04,1.4,9.24,33.65,20.05,0.96,1.87,128.52,15.7
1720,生達,32.91,221.54,232.72,153.53,70.21,3.73,97.85,2.7,135.18,1.69,0.61,7.25,10.68,25.66,11.64,2.09,55.28,72.35,2.44
1721,三晃,44.62,163.85,156.1,111.07,1.89,3.86,94.55,6.31,57.84,2.93,1.11,1.03,1.01,0.91,0.48,0.09,21.61,183.03,8.04
1722,台肥,25.68,192.46,179.1,104.83,24512.24,5.64,64.71,4.17,87.52,0.49,0.26,4.53,5.94,29.05,17.52,3.13,-10.27,45.8,-3.82
1723,中碳,12.5,539.7,459.4,364.9,919.1,13.9,26.25,14.8,24.66,6.2,1,25.8,29.7,108.4,24.6,9.5,222.1,97.6,2.01
1724,台硝,29.02,146.74,135.02,90.62,16.16,5.58,65.41,5.7,64.03,1.11,0.55,1.77,2.29,3.93,3.03,0.32,26.28,87.95,5.36
1725,元禎,47.96,435.64,183.74,175.81,1326.9,7.59,48.08,49.91,7.31,17.98,2.14,3.8,7.05,11.22,1.64,0.94,10.84,233.78,6.85
1726,永記,17.16,602.7,610.31,442.17,1424.71,4.05,90.12,3,121.66,6,0.89,11.4,13.78,76.63,12.47,6.39,104.06,86.77,6.07
1727,中華化,37.27,141.12,139.65,92.85,26.55,3.61,101.1,6.18,59.06,2.32,1.07,5.61,8.25,12.67,5.01,1.05,6.95,85.57,0.24
1730,花仙子,34.79,355.47,187.67,128.45,47696.38,3.9,93.58,2.93,124.57,5.39,1.05,7.87,11.59,28.12,7.47,2.14,33,64.95,4.63
1731,美吾華,31.62,337.6,247.62,199.17,17.76,2.02,180.69,2.97,122.89,2.16,0.48,3.35,4.72,7.2,6.53,0.6,34.59,70.72,7.65
1732,毛寶,24.84,222.53,306.3,211.38,-1044.18,4.72,77.33,3.08,118.5,2.66,0.96,-1.67,-2.25,-2.71,-1.77,-0.24,3.78,69.12,0.76
1733,五鼎,29.43,190.93,190.35,121.26,42.49,4.06,89.9,2.52,144.84,1.77,0.67,10.26,14.2,32.37,15.04,2.77,35.57,65.85,25.38
1734,杏輝,36.9,161.73,2.45,1.65,11.23,5.73,63.69,1.95,187.17,0.82,0.43,1.9,2.61,12.86,3.75,1.01,13.1,38.67,0.47
1735,日勝化,58.68,201.43,135.95,97.17,3.23,2.92,125,5.46,66.84,5.6,1.23,2.47,3.82,8.65,1.26,0.75,4.07,30.58,1.03
1736,喬山,54.78,484.78,161.12,113.04,37.62,2.87,127.17,2.59,140.92,7.45,0.95,15.47,33.38,108.37,15.94,8.72,18.36,99.22,11.68
1737,臺鹽,13.55,235.3,603.06,505.93,0,12.76,28.6,5.09,71.7,0.95,0.4,3.32,3.71,12.29,8.26,1.07,104.68,61.71,3.21
1760,寶齡富錦,35.84,209.83,212.15,137.02,6779.9,4.05,90.12,2.27,160.79,2.65,0.91,4.5,6.94,15.45,4.68,1.01,24.86,159.62,8.69
1762,中化生,49.61,138.3,177.7,114.63,3.7,8.53,42.79,1.45,251.72,0.47,0.3,0.84,0.89,4.88,1.57,0.19,3.31,42.83,-1.52
1773,勝一,23.73,263.4,245.42,137.21,285.78,6.89,52.97,6.35,57.48,4.81,1.46,10.57,14.29,41.58,7.2,3.5,94.09,90.84,9.29
1776,展宇,45.57,418.93,211.17,140.75,18.23,4.01,91.02,5.75,63.47,6.73,1.12,5.28,9.13,22.54,4.27,1.38,20.34,84.89,3.28
